x=331, y=565..585
y=516, x=378..383
y=1257, x=312..318
x=509, y=564..574
x=483, y=1534..1536
x=529, y=340..342
x=235, y=1057..1075
x=396, y=1140..1156
x=412, y=1654..1658
y=487, x=515..518
y=1408, x=237..257
y=1811, x=281..361
x=383, y=146..160
x=352, y=939..949
x=220, y=319..345
x=494, y=708..720
y=78, x=306..309
x=529, y=1557..1576
y=1087, x=284..305
x=229, y=241..248
x=409, y=1611..1632
y=645, x=232..249
x=302, y=1674..1693
x=267, y=1502..1517
x=381, y=1266..1274
x=346, y=327..351
y=164, x=254..259
y=316, x=389..407
x=225, y=735..763
x=198, y=1633..1647
y=390, x=210..237
x=285, y=1091..1099
y=24, x=489..510
x=301, y=306..328
y=357, x=454..474
x=305, y=925..935
x=241, y=734..752
x=420, y=1264..1267
x=243, y=322..346
x=313, y=1631..1640
x=469, y=729..734
y=659, x=447..473
y=1259, x=448..467
x=208, y=919..922
y=1021, x=319..321
y=1658, x=412..416
y=1236, x=316..321
x=485, y=1237..1254
x=250, y=1608..1620
x=479, y=391..402
y=801, x=384..483
x=263, y=276..284
x=495, y=164..190
y=1552, x=276..320
x=221, y=1361..1362
x=266, y=575..577
y=1733, x=379..385
x=391, y=1241..1250
y=932, x=358..376
y=1788, x=479..488
x=338, y=44..48
y=917, x=374..389
x=240, y=637..641
x=377, y=830..839
y=107, x=244..255
y=1080, x=372..374
x=229, y=779..793
y=693, x=372..380
x=201, y=1338..1355
x=221, y=399..404
y=1526, x=296..298
x=345, y=1137..1150
y=1137, x=497..514
y=1704, x=253..255
y=298, x=255..257
x=441, y=259..270
x=502, y=1056..1058
y=912, x=515..530
x=518, y=466..487
y=850, x=504..520
x=526, y=1252..1268
x=455, y=263..275
x=308, y=166..169
y=728, x=337..350
x=331, y=198..208
x=212, y=1715..1726
x=262, y=209..224
x=297, y=93..97
y=1661, x=402..422
x=536, y=763..784
y=957, x=298..321
x=372, y=1440..1464
x=310, y=1314..1318
x=275, y=714..717
x=349, y=1328..1338
x=342, y=1112..1125
y=966, x=237..240
x=401, y=841..859
y=1748, x=397..407
x=372, y=690..693
y=776, x=417..446
x=367, y=990..1005
x=222, y=1558..1568
x=373, y=892..894
x=413, y=1140..1156
x=341, y=1331..1342
y=212, x=346..349
x=459, y=1618..1625
x=346, y=1405..1409
x=433, y=376..385
x=494, y=1075..1098
x=257, y=293..298
x=305, y=272..300
x=462, y=344..353
y=1098, x=494..498
y=456, x=265..270
x=460, y=1772..1790
x=196, y=1557..1568
x=355, y=1631..1639
x=319, y=1271..1282
y=1306, x=428..445
x=372, y=1093..1106
y=598, x=406..470
x=253, y=1702..1704
y=1470, x=319..341
x=375, y=126..154
y=696, x=475..477
y=1078, x=262..267
x=312, y=1256..1257
x=417, y=211..239
y=1647, x=305..325
x=366, y=849..860
y=1572, x=328..330
y=22, x=377..381
y=437, x=419..421
y=520, x=351..359
x=494, y=1286..1296
x=460, y=333..335
y=839, x=374..377
y=952, x=341..358
x=203, y=129..140
x=445, y=850..858
y=87, x=401..423
y=73, x=306..309
y=1625, x=452..459
x=223, y=708..716
x=394, y=1085..1107
x=380, y=690..693
x=394, y=1332..1351
x=411, y=674..698
y=1575, x=320..336
y=1837, x=191..217
x=324, y=419..427
y=1585, x=487..497
x=242, y=894..901
x=499, y=32..44
x=445, y=1466..1473
y=746, x=513..515
x=284, y=1826..1836
x=276, y=978..1003
x=411, y=1265..1267
x=348, y=92..97
y=210, x=199..227
x=477, y=606..619
y=199, x=246..255
x=300, y=1394..1403
y=1465, x=288..305
y=441, x=357..360
x=248, y=1282..1287
y=1529, x=289..307
x=443, y=1024..1037
x=412, y=917..929
x=261, y=189..202
x=510, y=56..66
x=234, y=1029..1030
x=254, y=951..959
y=641, x=240..243
y=270, x=488..503
y=1392, x=432..444
y=213, x=521..536
x=205, y=82..107
y=1547, x=435..442
x=362, y=1744..1747
x=273, y=308..323
y=634, x=521..537
x=367, y=920..929
y=1747, x=362..369
x=448, y=1540..1563
y=1118, x=504..506
x=445, y=1287..1306
x=406, y=610..622
y=1279, x=350..369
y=1455, x=395..405
x=468, y=181..191
y=1298, x=361..383
y=379, x=468..471
y=688, x=253..270
y=1252, x=496..516
x=503, y=985..988
x=493, y=811..825
x=451, y=97..123
y=1351, x=373..394
y=1457, x=236..254
x=242, y=839..844
y=1376, x=408..433
x=412, y=1674..1698
x=326, y=1175..1178
y=60, x=330..355
x=349, y=1698..1703
x=357, y=708..730
x=375, y=1268..1279
y=1747, x=202..208
x=318, y=857..876
y=1338, x=349..353
x=476, y=725..737
y=643, x=255..258
x=294, y=508..529
y=1222, x=485..511
x=308, y=1295..1303
y=519, x=281..284
y=1161, x=503..510
x=296, y=1272..1282
y=1389, x=269..275
y=1137, x=200..203
y=1803, x=510..518
x=424, y=1265..1275
x=255, y=101..107
x=410, y=350..355
x=476, y=1458..1474
x=452, y=1751..1778
x=461, y=390..402
y=1667, x=446..448
y=1293, x=512..521
y=811, x=312..314
x=434, y=611..614
x=368, y=327..351
x=250, y=1304..1318
x=454, y=893..919
x=260, y=659..665
y=1035, x=388..401
x=221, y=82..107
y=968, x=361..385
x=397, y=1707..1732
x=444, y=1390..1392
x=239, y=1543..1554
x=504, y=431..452
y=1547, x=455..459
y=1444, x=294..310
x=480, y=477..483
y=469, x=447..471
x=308, y=540..556
x=470, y=303..315
x=290, y=1391..1399
y=345, x=373..385
y=97, x=284..297
y=1639, x=349..355
x=484, y=540..542
y=483, x=480..492
y=856, x=374..378
x=417, y=1519..1527
x=248, y=1016..1022
y=935, x=397..423
x=461, y=306..318
x=518, y=502..507
y=730, x=357..381
y=1461, x=293..299
x=378, y=283..310
x=374, y=98..107
x=208, y=1731..1747
y=716, x=219..223
y=1527, x=394..417
x=202, y=252..257
y=1550, x=201..219
x=256, y=1562..1589
x=453, y=184..186
y=720, x=475..494
x=467, y=1593..1599
x=531, y=741..759
x=371, y=1410..1418
x=334, y=1114..1128
x=246, y=1112..1117
x=216, y=1141..1158
x=323, y=993..1000
x=456, y=930..951
x=235, y=450..476
y=82, x=411..416
y=388, x=266..280
x=212, y=190..192
x=329, y=1009..1035
y=804, x=282..289
x=358, y=922..932
x=427, y=1196..1205
x=319, y=1013..1021
x=290, y=146..149
x=495, y=1592..1599
x=400, y=247..251
x=427, y=1431..1452
x=444, y=1612..1634
x=215, y=1231..1233
x=219, y=1582..1584
x=447, y=500..511
x=321, y=1508..1532
x=405, y=1094..1102
y=1205, x=427..433
x=266, y=846..867
y=1584, x=206..219
y=1367, x=285..368
x=513, y=724..746
x=383, y=503..516
x=262, y=950..959
x=204, y=961..985
y=1831, x=207..209
x=274, y=739..741
y=1355, x=193..201
x=281, y=1808..1811
x=280, y=384..388
y=737, x=394..476
x=512, y=1752..1780
y=773, x=256..270
y=956, x=265..270
y=1299, x=396..414
y=953, x=313..315
x=254, y=1445..1457
y=694, x=475..477
y=242, x=300..312
x=393, y=1772..1797
x=450, y=252..278
x=204, y=600..613
x=454, y=478..489
y=1600, x=261..332
x=368, y=1226..1235
x=237, y=962..966
y=617, x=335..350
x=305, y=383..408
y=259, x=441..443
x=235, y=125..130
y=36, x=222..226
x=192, y=189..192
x=340, y=1481..1494
y=101, x=508..513
y=298, x=447..461
y=1103, x=327..333
y=1608, x=447..457
x=462, y=630..640
x=444, y=182..191
x=311, y=925..935
x=224, y=616..632
x=502, y=461..488
y=847, x=232..258
x=199, y=1257..1275
x=225, y=1511..1518
y=1409, x=502..504
x=447, y=414..424
x=373, y=75..77
x=221, y=581..586
x=515, y=158..160
y=884, x=420..422
y=1140, x=259..265
x=385, y=1206..1220
x=465, y=1467..1473
x=455, y=1545..1547
x=222, y=178..186
x=491, y=55..66
x=478, y=1534..1536
x=308, y=1277..1279
x=192, y=341..360
y=452, x=495..504
x=331, y=250..254
x=265, y=941..956
x=487, y=1572..1585
x=285, y=1121..1122
x=532, y=1333..1337
x=316, y=1233..1236
y=1527, x=339..341
x=311, y=198..208
x=238, y=932..940
y=981, x=211..215
x=474, y=413..424
x=220, y=893..901
x=503, y=1558..1576
x=368, y=1829..1841
x=230, y=1207..1225
x=300, y=216..242
x=503, y=94..105
x=421, y=430..437
x=358, y=941..952
x=253, y=669..688
x=333, y=1185..1199
x=471, y=1136..1138
x=485, y=1664..1688
x=279, y=1140..1159
y=901, x=520..522
y=1111, x=302..322
x=487, y=328..345
y=1271, x=429..432
y=758, x=386..407
x=389, y=1311..1327
x=222, y=1777..1787
x=432, y=893..919
y=251, x=465..489
x=450, y=52..71
x=435, y=1529..1547
x=212, y=1539..1541
y=1310, x=228..236
x=372, y=986..1005
y=1029, x=346..351
y=1318, x=482..484
y=1833, x=207..209
x=252, y=1561..1589
x=234, y=1624..1627
y=76, x=255..261
y=1188, x=492..509
y=1095, x=472..485
x=422, y=973..992
x=433, y=1353..1376
x=428, y=1287..1306
x=365, y=260..285
x=337, y=1654..1665
x=475, y=768..780
x=472, y=326..339
y=1195, x=395..414
y=699, x=307..328
x=241, y=1170..1175
x=357, y=1009..1035
x=422, y=1819..1822
x=210, y=249..265
x=236, y=1151..1158
x=343, y=1480..1494
x=517, y=1353..1367
y=1427, x=247..262
y=212, x=434..489
y=1724, x=258..261
y=698, x=411..415
y=1423, x=533..537
y=323, x=273..280
x=228, y=582..586
y=248, x=229..252
y=349, x=315..332
y=81, x=363..384
x=499, y=1213..1216
y=1746, x=508..530
x=530, y=1744..1746
y=513, x=482..490
y=1554, x=239..249
y=1022, x=248..257
y=923, x=239..252
x=458, y=376..385
y=1210, x=298..313
x=434, y=522..533
x=315, y=747..753
y=877, x=363..365
x=320, y=1337..1344
y=590, x=248..252
y=1769, x=371..373
x=413, y=1085..1107
x=363, y=873..877
x=360, y=888..898
y=282, x=270..272
x=416, y=1240..1250
x=510, y=597..616
y=652, x=342..369
x=278, y=36..41
y=1720, x=423..425
y=904, x=442..448
x=384, y=458..472
y=1264, x=284..304
y=1216, x=499..502
x=489, y=1007..1027
y=284, x=259..263
x=514, y=1497..1501
x=522, y=901..907
y=1817, x=206..368
x=483, y=368..382
y=1295, x=373..377
x=495, y=432..452
x=414, y=1280..1299
x=362, y=486..487
y=1027, x=489..492
y=1156, x=396..413
x=405, y=1551..1570
x=412, y=856..859
y=586, x=221..228
y=992, x=468..471
y=123, x=445..451
y=1445, x=265..288
x=403, y=34..42
x=229, y=1170..1175
y=1660, x=269..279
x=195, y=130..140
x=444, y=1240..1249
y=360, x=192..195
x=337, y=551..553
y=311, x=236..263
x=252, y=240..248
y=413, x=496..508
x=237, y=1386..1408
y=780, x=397..475
x=498, y=1155..1168
x=264, y=1038..1055
y=817, x=299..326
y=402, x=461..479
y=345, x=205..220
x=312, y=641..653
x=374, y=1666..1669
x=350, y=597..617
x=387, y=1112..1115
x=496, y=392..413
y=488, x=496..502
x=237, y=972..999
x=199, y=252..257
x=515, y=367..375
y=1797, x=368..393
x=512, y=497..521
x=277, y=1331..1333
x=468, y=1611..1634
x=225, y=1096..1114
x=449, y=1819..1822
x=442, y=1529..1547
x=466, y=1382..1404
x=489, y=1155..1168
y=105, x=503..526
y=507, x=518..522
x=357, y=1402..1412
y=1271, x=205..207
y=333, x=460..466
y=110, x=397..411
y=1147, x=353..356
x=220, y=810..818
y=1220, x=318..342
x=361, y=1289..1298
x=396, y=680..685
y=1540, x=330..348
x=517, y=1039..1061
x=349, y=939..949
x=383, y=1266..1274
y=197, x=246..255
y=489, x=435..454
x=333, y=1336..1344
x=211, y=979..981
x=201, y=1716..1726
x=207, y=1831..1833
x=263, y=290..311
y=1219, x=250..271
x=427, y=1120..1146
x=269, y=1375..1389
x=518, y=597..616
x=400, y=1421..1434
x=355, y=998..1002
x=224, y=266..291
x=485, y=770..784
y=622, x=470..487
x=445, y=98..123
y=1770, x=216..233
y=1632, x=381..409
x=244, y=1401..1405
x=489, y=241..251
x=203, y=1125..1137
x=270, y=431..456
x=230, y=520..522
y=502, x=518..522
x=461, y=729..734
x=325, y=928..936
x=299, y=1223..1228
x=388, y=609..622
y=172, x=459..481
x=366, y=1098..1103
y=699, x=464..486
x=342, y=1206..1220
y=1005, x=340..367
x=431, y=393..400
x=321, y=1233..1236
y=1249, x=425..444
y=1061, x=497..517
y=275, x=455..512
x=425, y=1240..1249
x=503, y=771..784
x=420, y=1183..1208
y=1703, x=349..373
y=1621, x=521..523
y=1836, x=284..308
y=1038, x=522..525
x=481, y=31..44
y=118, x=364..389
x=244, y=101..107
y=1501, x=502..514
y=1103, x=364..366
x=240, y=949..951
y=951, x=240..249
x=373, y=1764..1769
y=940, x=238..242
x=269, y=30..44
y=77, x=191..206
y=1102, x=400..405
y=1720, x=479..493
x=211, y=331..341
x=342, y=1424..1437
x=249, y=948..951
x=210, y=100..102
y=269, x=314..321
x=196, y=1442..1444
y=44, x=269..285
y=1185, x=267..280
x=442, y=1772..1775
x=305, y=1083..1087
x=505, y=1056..1058
y=444, x=196..205
x=287, y=227..239
y=1775, x=442..445
y=1002, x=347..355
y=793, x=229..241
x=512, y=74..84
y=107, x=371..374
x=295, y=306..328
x=386, y=747..758
y=784, x=485..503
x=381, y=1027..1038
y=715, x=441..456
x=378, y=502..516
x=222, y=147..174
x=374, y=847..856
x=508, y=391..413
x=480, y=82..103
y=807, x=492..506
y=117, x=475..482
x=361, y=965..968
x=364, y=1098..1103
x=246, y=197..199
x=416, y=1391..1401
x=265, y=1138..1140
y=1386, x=283..303
y=756, x=472..479
y=1228, x=292..299
y=130, x=235..249
x=508, y=1234..1239
x=313, y=1205..1210
x=205, y=1641..1644
y=1673, x=439..454
x=339, y=1513..1527
x=219, y=1535..1550
y=793, x=219..222
y=1327, x=389..402
x=452, y=1303..1305
x=465, y=665..675
y=932, x=494..497
x=222, y=1579..1582
y=553, x=337..342
x=314, y=256..269
x=378, y=457..472
x=498, y=1075..1098
y=1099, x=285..295
x=400, y=1094..1102
x=350, y=107..108
y=979, x=211..215
y=866, x=231..249
x=368, y=1047..1058
y=191, x=444..468
x=403, y=212..239
y=443, x=292..318
x=483, y=791..801
x=328, y=1560..1572
y=1568, x=196..222
x=459, y=654..656
x=247, y=1423..1427
x=407, y=917..929
y=1484, x=273..299
x=388, y=1030..1035
x=217, y=1714..1726
x=424, y=1572..1594
x=319, y=641..653
y=505, x=433..441
y=965, x=361..385
x=299, y=55..83
x=301, y=746..753
y=1293, x=401..405
y=502, x=273..279
y=1220, x=385..401
y=341, x=211..214
x=427, y=1481..1493
x=385, y=1721..1733
x=262, y=846..867
x=515, y=814..823
y=1536, x=478..483
x=373, y=1293..1295
y=1613, x=388..397
x=325, y=202..204
x=373, y=613..617
y=315, x=468..470
x=211, y=470..473
x=410, y=450..459
y=192, x=192..212
x=468, y=303..315
x=468, y=375..379
x=486, y=685..699
x=467, y=665..675
y=1582, x=346..369
x=420, y=1046..1058
y=198, x=419..428
x=293, y=1453..1461
y=1399, x=290..292
x=428, y=851..858
y=360, x=278..282
x=444, y=1119..1146
x=241, y=548..556
x=447, y=284..298
x=278, y=1694..1698
x=255, y=1702..1704
x=359, y=1309..1320
x=210, y=374..390
y=48, x=338..344
x=490, y=1513..1540
x=476, y=1789..1809
x=530, y=599..604
y=1168, x=489..498
x=264, y=512..522
y=1409, x=346..348
y=823, x=515..533
x=387, y=1787..1789
y=1487, x=225..246
y=1501, x=358..363
x=300, y=1035..1044
x=448, y=1363..1372
y=310, x=378..383
y=91, x=256..270
x=406, y=503..518
y=1507, x=291..309
x=435, y=479..489
y=515, x=281..284
x=223, y=1367..1368
x=433, y=1196..1205
x=207, y=1777..1790
x=354, y=869..880
x=307, y=684..699
x=411, y=103..110
x=244, y=1005..1018
y=1382, x=294..297
y=1494, x=340..343
x=280, y=366..371
x=341, y=1401..1412
y=1233, x=205..215
y=1296, x=483..494
y=1698, x=401..412
y=1816, x=512..535
y=1620, x=242..250
x=443, y=259..270
x=299, y=1474..1484
x=209, y=1831..1833
